,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
I find so many tourists irritating,197,42,69,44,33,9,101,97,83,52,63,94,103
,10%,17%,11%,10%,7%,5%,10%,9%,15%,7%,9%,9%,10%
It will cost the taxpayer far too much,1144,142,366,248,294,93,526,618,277,412,454,594,549
,57%,56%,56%,58%,59%,52%,54%,60%,49%,57%,63%,58%,56%
The money could be better spent,929,111,302,197,236,82,443,486,251,320,358,477,452
,46%,44%,47%,46%,48%,46%,45%,47%,44%,44%,50%,47%,46%
"It only benefits the city it is held in not the rest of the country",807,58,235,192,229,93,398,410,188,283,336,412,396
,40%,23%,36%,44%,46%,52%,41%,40%,33%,39%,47%,40%,40%
The preparation is inconvenient,214,44,70,39,46,15,101,113,64,64,86,108,106
,11%,17%,11%,9%,9%,8%,10%,11%,11%,9%,12%,11%,11%
It will leave unused facilities,685,97,218,152,169,49,357,328,154,241,291,364,321
,34%,38%,34%,35%,34%,27%,37%,32%,27%,33%,40%,35%,33%
It requires a large security presence,1089,137,361,238,271,82,506,584,231,371,488,557,533
,54%,54%,56%,55%,55%,46%,52%,56%,41%,51%,68%,54%,54%
It increases the likelihood of terrorism,953,108,319,209,245,72,451,502,216,331,407,481,473
,47%,42%,49%,48%,49%,41%,46%,49%,38%,46%,57%,47%,48%
It brings increased crime to the host city,543,64,169,126,143,41,260,283,141,157,245,249,294
,27%,25%,26%,29%,29%,23%,27%,27%,25%,22%,34%,24%,30%
It will disrupt the transport system,775,146,265,148,161,54,373,402,219,240,316,408,367
,39%,58%,41%,34%,33%,30%,38%,39%,39%,33%,44%,40%,37%
It puts pressure on the city’s infrastructure,755,114,253,156,179,54,364,391,163,261,331,417,338
,38%,45%,39%,36%,36%,30%,37%,38%,29%,36%,46%,41%,34%
It will be depressing because my country will perform poorly,158,20,49,40,36,13,82,76,45,56,58,77,81
,8%,8%,8%,9%,7%,7%,8%,7%,8%,8%,8%,7%,8%
None of these,230,29,82,36,57,26,111,119,74,86,70,103,127
,11%,11%,13%,8%,12%,14%,11%,12%,13%,12%,10%,10%,13%
