,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
New shops and offices,519,114,179,83,106,38,302,217,151,181,187,277,242
,26%,45%,28%,19%,21%,21%,31%,21%,27%,25%,26%,27%,25%
"Stadiums; arenas and sports facilities",1286,155,441,266,309,116,639,647,289,491,507,710,576
,64%,61%,68%,62%,62%,65%,66%,63%,51%,68%,71%,69%,59%
New transport links and infrastructure,835,135,276,154,200,71,473,363,193,302,340,473,362
,42%,53%,43%,36%,40%,40%,49%,35%,34%,42%,47%,46%,37%
A Silicon Valley-style technology base,128,17,44,23,31,13,70,58,34,47,48,70,58
,6%,7%,7%,5%,6%,7%,7%,6%,6%,6%,7%,7%,6%
Cultural and community spaces and visitor attractions,447,60,154,87,103,43,238,209,120,147,180,250,197
,22%,23%,24%,20%,21%,24%,24%,20%,21%,20%,25%,24%,20%
Parkland and green spaces,570,89,192,106,132,51,345,225,123,212,235,320,250
,28%,35%,30%,25%,27%,28%,35%,22%,22%,29%,33%,31%,25%
New cycle paths and walking routes,809,113,276,154,197,69,443,366,193,298,318,452,356
,40%,44%,43%,36%,40%,39%,45%,35%,34%,41%,44%,44%,36%
Buildings that showcase green technologies,246,36,78,46,61,25,142,104,59,85,102,125,121
,12%,14%,12%,11%,12%,14%,15%,10%,11%,12%,14%,12%,12%
Sustainable energy generators,151,24,53,26,31,17,85,66,45,49,57,85,66
,8%,9%,8%,6%,6%,9%,9%,6%,8%,7%,8%,8%,7%
"Hospitals; health centres and schools",187,33,51,42,46,15,97,90,65,57,65,81,106
,9%,13%,8%,10%,9%,9%,10%,9%,12%,8%,9%,8%,11%
None of the above,418,38,122,107,109,43,169,249,140,143,135,170,248
,21%,15%,19%,25%,22%,24%,17%,24%,25%,20%,19%,17%,25%
